Ref,Val,Package,PosX,PosY,Rot,Side
"LED2","WS2812B","WS2812BDual",167.290000,-87.020000,0.000000,top
"LED3","WS2812B","WS2812BDual",178.290000,-87.020000,0.000000,top
"LED4","WS2812B","WS2812BDual",156.290000,-87.020000,0.000000,top
"LED5","WS2812B","WS2812BDual",121.575000,-87.070000,0.000000,top
"LED6","WS2812B","WS2812BDual",110.575000,-87.070000,0.000000,top
"LED7","WS2812B","WS2812BDual",99.575000,-87.070000,0.000000,top
"SW_0","MX-NoLED","mx-nec-alps",199.211000,-10.703500,0.000000,top
"SW_1","MX-NoLED","mx-nec-alps",27.761000,-10.703500,0.000000,top
"SW_2","MX-NoLED","mx-nec-alps",46.811000,-10.703500,0.000000,top
"SW_3","MX-NoLED","mx-nec-alps",65.861000,-10.703500,0.000000,top
"SW_4","MX-NoLED","mx-nec-alps",84.911000,-10.703500,0.000000,top
"SW_5","MX-NoLED","mx-nec-alps",103.961000,-10.703500,0.000000,top
"SW_6","MX-NoLED","mx-nec-alps",123.011000,-10.703500,0.000000,top
"SW_7","MX-NoLED","mx-nec-alps",142.061000,-10.703500,0.000000,top
"SW_8","MX-NoLED","mx-nec-alps",161.111000,-10.703500,0.000000,top
"SW_9","MX-NoLED","mx-nec-alps",180.161000,-10.703500,0.000000,top
"SW_A1","MX-NoLED","mx-nec-alps",42.048500,-48.803500,0.000000,top
"SW_APOS1","MX-NoLED","mx-nec-alps",232.548500,-48.803500,0.000000,top
"SW_B1","MX-NoLED","mx-nec-alps",127.773500,-67.853500,0.000000,top
"SW_BACKSP1","MX-NoLED","mx-nec-alps",270.648500,-29.753500,0.000000,top
"SW_BKSLS1","MX-NoLED","mx-nec-alps",256.361000,-10.703500,0.000000,top
"SW_C1","MX-NoLED","mx-nec-alps",89.673500,-67.853500,0.000000,top
"SW_CAP1","MX-NoLED","mx-nec-alps",15.854750,-48.803500,0.000000,top
"SW_COLON1","MX-NoLED","mx-nec-alps",213.498500,-48.803500,0.000000,top
"SW_COMMA1","MX-NoLED","mx-nec-alps",184.923500,-67.853500,0.000000,top
"SW_D1","MX-NoLED","mx-nec-alps",80.148500,-48.803500,0.000000,top
"SW_E1","MX-NoLED","mx-nec-alps",75.386000,-29.753500,0.000000,top
"SW_ENTER1","MX-NoLED","mx-nec-alps",263.504750,-48.803500,0.000000,top
"SW_EQ1","MX-NoLED","mx-nec-alps",237.311000,-10.703500,0.000000,top
"SW_ESC1","MX-NoLED","mx-nec-alps",8.711000,-10.703500,0.000000,top
"SW_F13","MX-NoLED","mx-nec-alps",99.198500,-48.803500,0.000000,top
"SW_G1","MX-NoLED","mx-nec-alps",118.248500,-48.803500,0.000000,top
"SW_H1","MX-NoLED","mx-nec-alps",137.298500,-48.803500,0.000000,top
"SW_I1","MX-NoLED","mx-nec-alps",170.636000,-29.753500,0.000000,top
"SW_J1","MX-NoLED","mx-nec-alps",156.348500,-48.803500,0.000000,top
"SW_K1","MX-NoLED","mx-nec-alps",175.398500,-48.803500,0.000000,top
"SW_L1","MX-NoLED","mx-nec-alps",194.448500,-48.803500,0.000000,top
"SW_LALT1","MX-NoLED","mx-nec-alps",61.098500,-86.903500,0.000000,top
"SW_LBRAC1","MX-NoLED","mx-nec-alps",227.786000,-29.753500,0.000000,top
"SW_LCTRL2","MX-NoLED","mx-nec-alps",18.236000,-86.903500,0.000000,top
