"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"LED2,LED3,LED7,LED5,LED6,LED4";"WS2812BDual";6;"WS2812B";;;
2;"SW_0,SW_1,SW_2,SW_3,SW_6,SW_7,SW_8,SW_9,SW_A1,SW_APOS1,SW_B1,SW_BACKSP1,SW_BKSLS1,SW_C1,SW_CAP1,SW_COLON1,SW_COMMA1,SW_D1,SW_E1,SW_ENTER1,SW_EQ1,SW_F1,SW_G1,SW_H1,SW_I1,SW_J1,SW_K1,SW_L1,SW_LALT1,SW_LBRAC1,SW_LMOD1,SW_LSH1,SW_M1,SW_MINUS1,SW_N1,SW_O1,SW_P1,SW_PERIOD1,SW_Q1,SW_R1,SW_RALT1,SW_RBRAC1,SW_RFN1,SW_RMOD1,SW_RSH1,SW_S1,SW_SLASH1,SW_T1,SW_TAB1,SW_ESC1,SW_U1,SW_V1,SW_W1,SW_X1,SW_Y1,SW_Z1,SW_4,SW_5,SW_TICK1,SW_LCTRL2";"mx-nec-alps";60;"MX-NoLED";;;
3;"SW_SPACE1";"MX-6.5U-ReversedStabilizers-NoLED";1;"MX-NoLED";;;
4;"D16,D2,D3,D4,D5,D7,D8,D9,D10,D11,D13,D14,D15,D17,D18,D19,D20,D21,D24,D25,D26,D27,D28,D29,D30,D31,D32,D35,D36,D37,D38,D39,D40,D41,D42,D46,D47,D48,D49,D50,D51,D52,D53,D54,D57,D58,D59,D60,D61,D62,D63,D64,D65,D68,D69,D70,D71,D72,D76,D77,D12";"D_SOD-123";61;"D_Small";;;
5;"C9,C1,C2,C5,C10,C12,C11,C14,C15,C13";"C_0805_2012Metric";10;"0.1uF";;;
6;"R1";"R_0805_2012Metric";1;"330";;;
7;"SW1";"SKQG-1155865";1;"SW_Push";;;
8;"C6";"C_0805_2012Metric";1;"1uF";;;
9;"C7";"C_0805_2012Metric";1;"10uF";;;
10;"J1";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"Conn_01x04_MountingPin";;;
11;"R3,R4";"R_0805_2012Metric";2;"10k";;;
12;"U1";"atmega32u4-mu-and-au";1;"ATmega32U4-MU";;;
13;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
14;"C3,C4";"C_0805_2012Metric";2;"22pF";;;
15;"R5,R2,R6";"R_0805_2012Metric";3;"22";;;
16;"BUZ1";"Buzzer_Mallory_AST1109MLTRQ";1;"Buzzer";;;
