Designator,Mid X,Mid Y,Rotation,Layer
"BUZ1",197.790000,-81.815000,0.000000,bottom
"C1",254.125375,-79.488625,-90.000000,bottom
"C2",271.340000,-95.900000,90.000000,bottom
"C3",272.590000,-89.430000,0.000000,bottom
"C4",272.200000,-81.470000,0.000000,bottom
"C5",267.210000,-95.900000,90.000000,bottom
"C6",261.630000,-77.100000,180.000000,bottom
"C7",269.270000,-95.900000,90.000000,bottom
"C9",167.310000,-81.720000,0.000000,bottom
"C10",178.130000,-81.650000,180.000000,bottom
"C11",188.610000,-85.255000,-90.000000,bottom
"C12",156.025000,-81.920000,0.000000,bottom
"C13",122.895000,-81.600000,0.000000,bottom
"C14",110.595000,-81.640000,180.000000,bottom
"C15",99.675000,-81.340000,180.000000,bottom
"D2",17.910000,-4.710000,90.000000,bottom
"D3",22.998500,-29.753500,90.000000,bottom
"D4",25.379750,-48.803500,90.000000,bottom
"D5",30.142250,-67.853500,90.000000,bottom
"D7",49.192250,-86.903500,90.000000,bottom
"D8",61.098500,-67.853500,90.000000,bottom
"D9",51.573500,-48.803500,90.000000,bottom
"D10",46.811000,-29.753500,90.000000,bottom
"D11",37.286000,-10.703500,90.000000,bottom
"D12",27.790000,-79.790000,90.000000,bottom
"D13",56.336000,-10.703500,90.000000,bottom
"D14",65.861000,-29.753500,90.000000,bottom
"D15",70.623500,-48.803500,90.000000,bottom
"D16",80.148500,-67.853500,90.000000,bottom
"D17",70.490000,-82.410000,90.000000,bottom
"D18",99.198500,-67.853500,90.000000,bottom
"D19",89.673500,-48.803500,90.000000,bottom
"D20",84.911000,-31.403500,90.000000,bottom
"D21",75.386000,-10.703500,90.000000,bottom
"D24",94.436000,-10.703500,90.000000,bottom
"D25",103.961000,-29.753500,90.000000,bottom
"D26",108.723500,-48.803500,90.000000,bottom
"D27",118.248500,-67.853500,90.000000,bottom
"D28",146.900000,-79.870000,90.000000,bottom
"D29",137.298500,-67.853500,90.000000,bottom
"D30",127.773500,-48.803500,90.000000,bottom
"D31",123.011000,-29.753500,90.000000,bottom
"D32",113.486000,-10.703500,90.000000,bottom
"D35",132.536000,-10.703500,90.000000,bottom
"D36",142.061000,-29.753500,90.000000,bottom
"D37",146.823500,-48.803500,90.000000,bottom
"D38",156.348500,-67.853500,90.000000,bottom
"D39",174.110000,-67.380000,90.000000,bottom
"D40",165.873500,-48.803500,90.000000,bottom
"D41",161.111000,-29.753500,90.000000,bottom
"D42",151.586000,-10.703500,90.000000,bottom
"D46",170.636000,-10.703500,90.000000,bottom
"D47",180.161000,-29.753500,90.000000,bottom
"D48",184.923500,-48.803500,90.000000,bottom
"D49",194.448500,-67.853500,90.000000,bottom
"D50",223.020000,-81.990000,90.000000,bottom
"D51",213.498500,-67.853500,90.000000,bottom
"D52",203.973500,-48.803500,90.000000,bottom
"D53",199.211000,-29.753500,90.000000,bottom
"D54",189.686000,-10.703500,90.000000,bottom
"D57",208.736000,-10.703500,90.000000,bottom
"D58",218.261000,-29.753500,90.000000,bottom
"D59",223.023500,-48.803500,90.000000,bottom
"D60",232.548500,-67.853500,90.000000,bottom
"D61",246.850000,-87.320000,90.000000,bottom
"D62",256.560000,-65.270000,90.000000,bottom
"D63",242.073500,-48.803500,90.000000,bottom
"D64",237.311000,-29.753500,90.000000,bottom
"D65",227.786000,-10.703500,90.000000,bottom
"D68",246.836000,-10.703500,90.000000,bottom
"D69",256.361000,-29.753500,90.000000,bottom
"D70",263.590000,-6.590000,90.000000,bottom
"D71",273.029750,-48.803500,90.000000,bottom
"D72",280.370000,-72.900000,90.000000,bottom
"D76",281.150000,-23.570000,90.000000,bottom
"D77",281.140000,-17.010000,90.000000,bottom
"J1",277.130000,-42.585000,0.000000,bottom
"R1",252.957500,-86.530000,0.000000,bottom
"R2",275.630000,-52.982500,90.000000,bottom
"R3",276.770000,-83.020000,180.000000,bottom
"R4",253.720000,-93.330000,-90.000000,bottom
"R5",277.580000,-52.982500,90.000000,bottom
"R6",190.930000,-85.217500,90.000000,bottom
"SW1",279.480000,-95.890000,180.000000,bottom
"U1",262.342625,-86.772625,-90.000000,bottom
"Y1",271.867625,-86.285125,90.000000,bottom
